Subject,L_I_II,L_III,L_IV,L_V,L_VI,L_Crus_I,L_Crus_II,L_VIIB,L_VIIIA,L_VIIIB,L_IX,L_X,L_CM,R_I_II,R_III,R_IV,R_V,R_VI,R_Crus_I,R_Crus_II,R_VIIB,R_VIIIA,R_VIIIB,R_IX,R_X,R_CM
output/fusion/majority_vote/sub-3611_run-1_desc-masked_preproc_T1w_labels.mnc,119.209,899.315,2082.82,3996.85,7026.67,14654.2,9548.19,4267.69,5672.45,3343.58,2785.68,634.193,7974.62,123.024,991.821,1826.29,3920.56,9132.39,14079.1,10704,5386.35,4599.57,3246.31,2990.72,696.182,8171.08
output/fusion/majority_vote/sub-3613_run-1_desc-masked_preproc_T1w_labels.mnc,54.3597,880.246,2360.36,4138.01,7647.55,12099.3,7627.53,3635.42,5370.17,3917.71,4203.82,543.597,7863.08,77.248,946.05,2380.38,4483.25,8076.71,12187.1,9126.71,4393.6,4174.25,3509.54,4174.25,599.864,8449.6
output/fusion/majority_vote/sub-3614_run-1_desc-masked_preproc_T1w_labels.mnc,55.3133,840.19,2416.62,4550.95,8330.37,12920.4,8564.02,4313.48,5272.88,3673.56,3347.41,641.825,9003.67,99.1824,998.5,2090.46,4525.2,8282.69,15140.6,9538.68,4320.16,4209.53,3251.09,3557.22,828.745,9513.88
output/fusion/majority_vote/sub-3615_run-1_desc-masked_preproc_T1w_labels.mnc,81.0623,811.577,2058.98,4238.13,7174.49,14576.9,8815.77,4532.81,6481.17,3806.11,3977.78,635.147,8621.22,82.016,905.037,1946.45,4349.71,8520.13,16678.8,10187.1,5981.45,4868.51,3870.01,3973.01,640.869,8882.52
output/fusion/majority_vote/sub-3620_run-1_desc-masked_preproc_T1w_labels.mnc,61.0353,722.887,2125.75,4591,11091.3,15037.6,9987.85,5475.06,6695.76,4035.01,3629.69,772.478,9173.41,70.5721,718.118,1907.35,4891.41,10172.9,15264.5,11454.6,5844.13,5392.09,4404.08,3807.08,857.355,9494.8
output/fusion/majority_vote/sub-3624_run-1_desc-masked_preproc_T1w_labels.mnc,105.858,851.631,2414.7,5122.18,9924.89,13292.3,10182.4,5638.12,7272.72,4668.24,4770.28,775.337,10166.2,130.653,1033.78,1973.15,4817.96,9875.3,16320.2,12235.6,6705.28,5970,4286.77,5163.19,708.58,10240.6
output/fusion/majority_vote/sub-3627_run-1_desc-masked_preproc_T1w_labels.mnc,84.877,943.184,2342.22,5191.8,8785.25,15269.3,7792.47,4477.5,5868.91,3789.9,3686.9,473.022,9307.86,147.82,1213.07,2034.19,4508.97,9456.63,16431.8,9000.78,5059.24,4795.07,3733.63,3587.72,730.515,9453.77
output/fusion/majority_vote/sub-3635_run-1_desc-masked_preproc_T1w_labels.mnc,52.4521,953.674,2124.79,3245.35,9103.78,15124.3,9533.88,5142.21,6905.56,3911.97,4500.39,640.869,10938.6,60.0815,897.408,1713.75,3692.63,10236.7,16099.9,10213.9,5997.66,5288.12,3895.76,4306.79,720.024,11352.5
output/fusion/majority_vote/sub-3636_run-1_desc-masked_preproc_T1w_labels.mnc,73.4329,914.574,2287.86,4863.74,8340.84,14624.6,8517.27,4303.93,5924.22,3863.33,3241.54,543.594,9169.58,87.738,967.979,2004.62,4719.73,9290.7,15029.9,10113.7,4858.97,4796.98,4048.35,3842.35,718.117,9512.9
output/fusion/majority_vote/sub-3637_run-1_desc-masked_preproc_T1w_labels.mnc,72.4792,768.661,1823.43,3443.72,7636.07,13186.5,8143.42,4487.99,5657.2,3419.88,3297.81,698.09,7950.78,102.997,805.855,1367.57,3435.13,7491.11,14432.9,10150.9,4756.93,4337.31,3684.04,3388.4,623.703,7942.2
