rh.aparc.DKTatlas.area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-3114	638.0	1613.0	1803.0	318.0	2463.0	4124.0	3081.0	1005.0	4745.0	2075.0	3026.0	1231.0	3794.0	665.0	1724.0	1135.0	537.0	1062.0	1641.0	3894.0	1327.0	4531.0	3467.0	628.0	2206.0	6956.0	3636.0	4140.0	2886.0	288.0	1764.0	72400.8	905428.0	1287590.079589
sub-3115	775.0	2497.0	2002.0	458.0	3324.0	5167.0	4229.0	1040.0	5234.0	3335.0	3593.0	1811.0	5411.0	692.0	1803.0	1752.0	726.0	1558.0	1485.0	6301.0	1552.0	5200.0	4748.0	1004.0	4634.0	10246.0	4634.0	4919.0	4913.0	313.0	2272.0	97626.8	1169364.0	1636462.312859
sub-3151	698.0	2134.0	1842.0	309.0	2649.0	5325.0	4041.0	1021.0	5237.0	2959.0	2797.0	1255.0	4431.0	654.0	1330.0	1827.0	588.0	1461.0	1327.0	4130.0	1222.0	4052.0	3766.0	856.0	4305.0	9206.0	4521.0	4422.0	3470.0	289.0	1823.0	83947.4	1080730.0	1520893.531615
sub-3156	657.0	2192.0	1659.0	277.0	2456.0	5251.0	3510.0	947.0	4385.0	2647.0	2949.0	1578.0	3971.0	641.0	1617.0	1563.0	619.0	1439.0	1220.0	4468.0	1109.0	4495.0	3610.0	852.0	4124.0	9026.0	3992.0	5369.0	3697.0	408.0	2174.0	82902.5	1032323.0	1558956.244154
sub-3157	839.0	1531.0	1652.0	296.0	2303.0	4556.0	2518.0	803.0	4383.0	2351.0	2594.0	1401.0	3183.0	547.0	1305.0	1535.0	630.0	1237.0	1534.0	3793.0	1034.0	4098.0	3188.0	762.0	3188.0	6727.0	4218.0	4063.0	3134.0	260.0	1830.0	71493.9	878085.0	1183410.395238
sub-3160	982.0	2366.0	2200.0	446.0	2951.0	6011.0	3698.0	848.0	5522.0	2969.0	3415.0	1628.0	4167.0	789.0	1817.0	1324.0	699.0	1450.0	1376.0	4413.0	1029.0	5284.0	4143.0	1087.0	4303.0	9684.0	4511.0	5232.0	3263.0	354.0	2271.0	90231.2	1133731.0	1809287.539735
sub-3161	690.0	2286.0	2273.0	336.0	3009.0	5680.0	3529.0	1127.0	5440.0	3249.0	3600.0	1523.0	4612.0	824.0	1864.0	1415.0	810.0	1794.0	1733.0	4259.0	1335.0	4921.0	4478.0	1013.0	4118.0	9846.0	5552.0	5414.0	4235.0	390.0	2219.0	93575.4	1193640.0	1692612.828334
sub-3165	746.0	2126.0	1739.0	432.0	2523.0	4826.0	3533.0	865.0	4494.0	2558.0	3015.0	1364.0	4144.0	651.0	1417.0	1672.0	646.0	1454.0	1568.0	4383.0	1120.0	4169.0	3521.0	769.0	3355.0	7911.0	3580.0	4311.0	2775.0	277.0	1860.0	77804.8	1082889.0	1450955.030984
sub-3169	865.0	2940.0	2469.0	381.0	3203.0	6048.0	3064.0	1216.0	6190.0	2921.0	3691.0	1536.0	4201.0	684.0	2011.0	1684.0	766.0	1705.0	2521.0	4336.0	1310.0	5385.0	4360.0	647.0	4127.0	10232.0	3936.0	4888.0	3381.0	300.0	2107.0	93105.0	1155226.0	1639347.801568
sub-3171	817.0	1989.0	1742.0	502.0	2761.0	4999.0	4049.0	942.0	5285.0	2589.0	2796.0	1360.0	4240.0	588.0	1391.0	1507.0	805.0	1555.0	1260.0	4339.0	1103.0	4720.0	3680.0	852.0	4021.0	8268.0	3876.0	4251.0	3426.0	319.0	1872.0	81904.8	1118880.0	1574591.31877
