rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-3565	1042.0	848.0	2465.0	2363.0	357.0	3798.0	5528.0	3220.0	1088.0	5856.0	2784.0	3843.0	2172.0	4568.0	718.0	1735.0	1697.0	1000.0	1862.0	2126.0	4060.0	1638.0	5441.0	4278.0	567.0	6613.0	8310.0	4982.0	4087.0	4234.0	355.0	463.0	321.0	2981.0	97397.0	1259027.0	1783763.889443
sub-3569	836.0	592.0	1989.0	1462.0	518.0	3304.0	4555.0	3144.0	882.0	4663.0	2665.0	3134.0	1853.0	2991.0	766.0	1594.0	1215.0	858.0	1424.0	1440.0	4258.0	1160.0	4486.0	3597.0	563.0	5413.0	6814.0	5067.0	3585.0	3445.0	224.0	400.0	317.0	2378.0	81576.3	1036115.0	1373078.549832
sub-3570	1054.0	718.0	2041.0	2247.0	542.0	3385.0	6200.0	3599.0	1191.0	5588.0	3164.0	4137.0	2264.0	3892.0	850.0	2034.0	1433.0	965.0	1999.0	2745.0	4270.0	1307.0	5587.0	4718.0	734.0	7995.0	8832.0	6170.0	4069.0	3983.0	326.0	571.0	415.0	3047.0	102059.0	1315000.0	1948132.126488
sub-3571	998.0	757.0	3338.0	2087.0	446.0	3680.0	6805.0	4054.0	1140.0	5694.0	2950.0	4107.0	2255.0	4549.0	854.0	1959.0	1625.0	845.0	1663.0	2005.0	4163.0	1428.0	5943.0	4332.0	843.0	5998.0	8294.0	5602.0	4219.0	4770.0	390.0	556.0	342.0	2902.0	101580.0	1258630.0	1814170.330641
sub-3572	843.0	631.0	1951.0	1351.0	394.0	2952.0	4886.0	3121.0	898.0	4348.0	2417.0	3046.0	1790.0	3308.0	616.0	1514.0	1311.0	811.0	1636.0	1285.0	3651.0	945.0	5068.0	3865.0	693.0	4590.0	7493.0	5197.0	3685.0	3471.0	266.0	503.0	317.0	2581.0	81423.4	992492.0	1307872.862664
sub-3600	1005.0	657.0	2091.0	1975.0	416.0	3029.0	5603.0	3596.0	768.0	4879.0	2573.0	3585.0	1841.0	3433.0	617.0	1703.0	1135.0	817.0	1425.0	1754.0	3683.0	1136.0	5055.0	3218.0	639.0	6284.0	7754.0	4782.0	3749.0	4271.0	351.0	385.0	340.0	2311.0	86857.5	1146450.0	1472714.691638
sub-3610	869.0	493.0	2590.0	1409.0	513.0	3288.0	4717.0	3314.0	903.0	4224.0	2979.0	2849.0	2076.0	3781.0	638.0	1580.0	1486.0	926.0	1449.0	1295.0	3985.0	1245.0	4909.0	3546.0	529.0	6001.0	7044.0	5201.0	3983.0	3945.0	320.0	480.0	343.0	2425.0	85335.3	1165035.0	1578057.312215
sub-3611	1109.0	572.0	2500.0	1639.0	392.0	2804.0	5549.0	2973.0	1062.0	5075.0	3084.0	3570.0	2108.0	3692.0	607.0	1387.0	1603.0	775.0	1897.0	1917.0	3664.0	1235.0	4550.0	4438.0	476.0	5848.0	6519.0	5684.0	3752.0	3481.0	257.0	391.0	333.0	2288.0	87152.2	1189372.0	1582941.090089
sub-3613	948.0	726.0	2137.0	1447.0	329.0	2452.0	5477.0	3072.0	878.0	4658.0	2582.0	3083.0	1944.0	3453.0	547.0	1323.0	1579.0	729.0	1694.0	1416.0	3729.0	1231.0	4940.0	3371.0	452.0	4641.0	6595.0	4621.0	3774.0	3639.0	316.0	422.0	328.0	2322.0	80852.1	1138758.0	1507659.161024
sub-3614	944.0	628.0	1752.0	1529.0	415.0	2958.0	4335.0	3010.0	975.0	4544.0	2546.0	3573.0	1956.0	3471.0	663.0	1397.0	1264.0	667.0	1317.0	1861.0	3686.0	1069.0	4506.0	3373.0	503.0	4515.0	5964.0	4197.0	3478.0	3506.0	252.0	486.0	314.0	2117.0	77761.3	1066798.0	1466464.757419
